dataset,model_size,milestone,vocab_size,seed,acc
tinystories,60m,final,32000,0,0.6568358208955224
tinystories,60m,final,32000,1,0.6431343283582089
tinystories,60m,final,32000,2,0.6508208955223881
tinystories,60m,25,50257,0,0.5508208955223881
tinystories,60m,25,50257,1,0.5337910447761194
tinystories,60m,25,50257,2,0.543134328358209
tinystories,60m,50,50257,0,0.5880298507462687
tinystories,60m,50,50257,1,0.5726119402985075
tinystories,60m,50,50257,2,0.571910447761194
tinystories,60m,75,50257,0,0.5941940298507463
tinystories,60m,75,50257,1,0.583910447761194
tinystories,60m,75,50257,2,0.5734179104477612
tinystories,60m,100,50257,0,0.6085373134328358
tinystories,60m,100,50257,1,0.6076716417910448
tinystories,60m,100,50257,2,0.589134328358209
tinystories,60m,250,50257,0,0.6505671641791044
tinystories,60m,250,50257,1,0.6343432835820896
tinystories,60m,250,50257,2,0.6383283582089552
tinystories,60m,500,50257,0,0.6468805970149254
tinystories,60m,500,50257,1,0.6340597014925373
tinystories,60m,500,50257,2,0.6387910447761194
tinystories,60m,750,50257,0,0.6441194029850746
tinystories,60m,750,50257,1,0.6453134328358209
tinystories,60m,750,50257,2,0.6441641791044777
tinystories,60m,1000,50257,0,0.6478805970149254
tinystories,60m,1000,50257,1,0.6548955223880597
tinystories,60m,1000,50257,2,0.6522985074626866
tinystories,60m,1250,50257,0,0.6569253731343283
tinystories,60m,1250,50257,1,0.6547313432835821
tinystories,60m,1250,50257,2,0.6434925373134328
tinystories,60m,1500,50257,0,0.6571194029850747
tinystories,60m,1500,50257,1,0.6597164179104478
tinystories,60m,1500,50257,2,0.6462686567164179
tinystories,60m,1750,50257,0,0.6495373134328358
tinystories,60m,1750,50257,1,0.6538059701492537
tinystories,60m,1750,50257,2,0.645955223880597
tinystories,60m,2000,50257,0,0.6506119402985074
tinystories,60m,2000,50257,1,0.6552686567164179
tinystories,60m,2000,50257,2,0.6553731343283582
tinystories,60m,final,50257,0,0.6479850746268657
tinystories,60m,final,50257,1,0.6661492537313433
tinystories,60m,final,50257,2,0.6608507462686567
tinystories,20m,25,16000,0,0.5538358208955224
tinystories,20m,25,16000,1,0.5605223880597014
tinystories,20m,25,16000,2,0.5785223880597015
tinystories,20m,50,16000,0,0.5898358208955223
tinystories,20m,50,16000,1,0.5747910447761194
tinystories,20m,50,16000,2,0.5893880597014926
tinystories,20m,75,16000,0,0.5766567164179105
tinystories,20m,75,16000,1,0.5794029850746268
tinystories,20m,75,16000,2,0.5966268656716418
tinystories,20m,100,16000,0,0.6050597014925373
tinystories,20m,100,16000,1,0.586089552238806
tinystories,20m,100,16000,2,0.6051492537313433
tinystories,20m,250,16000,0,0.6075373134328358
tinystories,20m,250,16000,1,0.6017313432835821
tinystories,20m,250,16000,2,0.6271044776119403
tinystories,20m,500,16000,0,0.627
tinystories,20m,500,16000,1,0.6426865671641792
tinystories,20m,500,16000,2,0.6332985074626866
tinystories,20m,750,16000,0,0.6282388059701492
tinystories,20m,750,16000,1,0.6312835820895523
tinystories,20m,750,16000,2,0.6363582089552239
tinystories,20m,1000,16000,0,0.6378805970149254
tinystories,20m,1000,16000,1,0.6245373134328358
tinystories,20m,1000,16000,2,0.6382537313432836
tinystories,20m,1250,16000,0,0.6444477611940298
tinystories,20m,1250,16000,1,0.6216716417910447
tinystories,20m,1250,16000,2,0.6519402985074627
tinystories,20m,1500,16000,0,0.6404477611940298
tinystories,20m,1500,16000,1,0.617268656716418
tinystories,20m,1500,16000,2,0.6396567164179104
tinystories,20m,1750,16000,0,0.6407014925373135
tinystories,20m,1750,16000,1,0.6322388059701493
tinystories,20m,1750,16000,2,0.6387462686567165
tinystories,20m,2000,16000,0,0.643
tinystories,20m,2000,16000,1,0.6370597014925373
tinystories,20m,2000,16000,2,0.6510597014925373
tinystories,20m,final,16000,0,0.6360597014925373
tinystories,20m,final,16000,1,0.6191194029850746
tinystories,20m,final,16000,2,0.6379701492537313
tinystories,180m,25,16000,0,0.5108805970149254
tinystories,180m,25,16000,1,0.5285970149253731
tinystories,180m,25,16000,2,0.5143432835820896
tinystories,180m,50,16000,0,0.5413283582089552
tinystories,180m,50,16000,1,0.5514328358208955
tinystories,180m,50,16000,2,0.5417313432835821
tinystories,180m,75,16000,0,0.5593582089552239
tinystories,180m,75,16000,1,0.5469850746268656
tinystories,180m,75,16000,2,0.5617910447761194
tinystories,180m,100,16000,0,0.5719850746268657
tinystories,180m,100,16000,1,0.570820895522388
tinystories,180m,100,16000,2,0.5737761194029851
tinystories,180m,250,16000,0,0.6165522388059701
tinystories,180m,250,16000,1,0.6124179104477612
tinystories,180m,250,16000,2,0.5944328358208956
tinystories,180m,500,16000,0,0.6489850746268657
tinystories,180m,500,16000,1,0.6395970149253731
tinystories,180m,500,16000,2,0.6304925373134328
tinystories,180m,750,16000,0,0.6524179104477612
tinystories,180m,750,16000,1,0.6504776119402985
tinystories,180m,750,16000,2,0.6334776119402985
tinystories,180m,1000,16000,0,0.6562388059701493
tinystories,180m,1000,16000,1,0.6466567164179104
tinystories,180m,1250,16000,0,0.6487611940298508
tinystories,180m,1250,16000,1,0.6454029850746269
tinystories,180m,1250,16000,2,0.6509701492537313
tinystories,180m,1500,16000,0,0.6554328358208955
tinystories,180m,1500,16000,1,0.6508955223880597
tinystories,180m,1500,16000,2,0.6530895522388059
tinystories,180m,1750,16000,0,0.6610597014925373
tinystories,180m,1750,16000,1,0.6513880597014925
tinystories,180m,1750,16000,2,0.648223880597015
tinystories,180m,2000,16000,0,0.6618059701492537
tinystories,180m,2000,16000,1,0.6586865671641791
tinystories,180m,2000,16000,2,0.6533880597014925
tinystories,180m,final,16000,0,0.6567164179104478
tinystories,180m,final,16000,1,0.6527313432835821
tinystories,180m,final,16000,2,0.6556119402985074
babylm3,60m,25,8000,0,0.5458059701492537
babylm3,60m,25,8000,1,0.5441194029850747
babylm3,60m,25,8000,2,0.5393731343283582
babylm3,60m,50,8000,0,0.6051044776119403
babylm3,60m,50,8000,1,0.593776119402985
babylm3,60m,50,8000,2,0.5956268656716418
babylm3,60m,75,8000,0,0.6410895522388059
babylm3,60m,75,8000,1,0.6396716417910447
babylm3,60m,75,8000,2,0.6435820895522388
babylm3,60m,100,8000,0,0.6644626865671642
babylm3,60m,100,8000,1,0.6527761194029851
babylm3,60m,100,8000,2,0.6641492537313433
babylm3,60m,250,8000,0,0.6833432835820895
babylm3,60m,250,8000,1,0.6783283582089552
babylm3,60m,250,8000,2,0.695865671641791
babylm3,60m,500,8000,0,0.7090298507462687
babylm3,60m,500,8000,1,0.7207910447761194
babylm3,60m,500,8000,2,0.7227910447761194
babylm3,60m,750,8000,0,0.7175820895522388
babylm3,60m,750,8000,1,0.725955223880597
babylm3,60m,750,8000,2,0.7163582089552238
babylm3,60m,1000,8000,0,0.7210597014925373
babylm3,60m,1000,8000,1,0.7352388059701492
babylm3,60m,1000,8000,2,0.7279402985074627
babylm3,60m,1250,8000,0,0.7256268656716418
babylm3,60m,1250,8000,1,0.7306268656716418
babylm3,60m,1250,8000,2,0.7242835820895522
babylm3,60m,1500,8000,0,0.7152089552238806
babylm3,60m,1500,8000,1,0.7184925373134329
babylm3,60m,1500,8000,2,0.7158955223880596
babylm3,60m,1750,8000,0,0.7334626865671642
babylm3,60m,1750,8000,1,0.7337014925373134
babylm3,60m,1750,8000,2,0.7221791044776119
babylm3,60m,2000,8000,0,0.7216119402985075
babylm3,60m,2000,8000,1,0.7154477611940299
babylm3,60m,2000,8000,2,0.7025522388059702
babylm3,60m,final,8000,0,0.7208507462686568
babylm3,60m,final,8000,1,0.7254477611940299
babylm3,60m,final,8000,2,0.7141492537313433
babylm3,60m,25,16000,0,0.5700149253731344
babylm3,60m,25,16000,1,0.5849850746268657
babylm3,60m,25,16000,2,0.575820895522388
babylm3,60m,50,16000,0,0.6376865671641792
babylm3,60m,50,16000,1,0.6342537313432836
babylm3,60m,50,16000,2,0.628223880597015
babylm3,60m,75,16000,0,0.668865671641791
babylm3,60m,75,16000,1,0.6648208955223881
babylm3,60m,75,16000,2,0.6633432835820896
babylm3,60m,100,16000,0,0.6935373134328359
babylm3,60m,100,16000,1,0.685865671641791
babylm3,60m,100,16000,2,0.6672388059701493
babylm3,60m,250,16000,0,0.7222238805970149
babylm3,60m,250,16000,1,0.7064179104477611
babylm3,60m,250,16000,2,0.7068358208955224
babylm3,60m,500,16000,0,0.7293731343283583
babylm3,60m,500,16000,1,0.7152238805970149
babylm3,60m,500,16000,2,0.7276417910447761
babylm3,60m,750,16000,0,0.7355373134328358
babylm3,60m,750,16000,1,0.7248059701492537
babylm3,60m,750,16000,2,0.7255671641791045
babylm3,60m,1000,16000,0,0.7415820895522388
babylm3,60m,1000,16000,1,0.7293582089552239
babylm3,60m,1000,16000,2,0.7375074626865672
babylm3,60m,1250,16000,0,0.7311492537313433
babylm3,60m,1250,16000,1,0.728776119402985
babylm3,60m,1250,16000,2,0.7231641791044776
babylm3,60m,1500,16000,0,0.7377313432835821
