dataset,model_size,milestone,vocab_size,seed,acc
hybrid_3.7B,60m,50,32000,2,0.6530895522388059
hybrid_3.7B,60m,75,32000,0,0.6833432835820895
hybrid_3.7B,60m,75,32000,1,0.693044776119403
hybrid_3.7B,60m,75,32000,2,0.6918358208955224
hybrid_3.7B,60m,100,32000,0,0.6924477611940298
hybrid_3.7B,60m,100,32000,1,0.7074328358208956
hybrid_3.7B,60m,100,32000,2,0.6960149253731344
hybrid_3.7B,60m,250,32000,0,0.7394925373134328
hybrid_3.7B,60m,250,32000,1,0.7456417910447761
hybrid_3.7B,60m,250,32000,2,0.7410298507462687
hybrid_3.7B,60m,500,32000,0,0.7531194029850746
hybrid_3.7B,60m,500,32000,1,0.741955223880597
hybrid_3.7B,60m,500,32000,2,0.7231343283582089
hybrid_3.7B,60m,750,32000,0,0.7628955223880597
hybrid_3.7B,60m,750,32000,1,0.7695671641791044
hybrid_3.7B,60m,750,32000,2,0.744
hybrid_3.7B,60m,1000,32000,0,0.7768805970149254
hybrid_3.7B,60m,1000,32000,1,0.7700746268656716
hybrid_3.7B,60m,1000,32000,2,0.7452537313432835
hybrid_3.7B,60m,1250,32000,0,0.7712835820895523
hybrid_3.7B,60m,1250,32000,1,0.7564328358208955
hybrid_3.7B,60m,1250,32000,2,0.7319253731343284
hybrid_3.7B,60m,1500,32000,0,0.7813134328358209
hybrid_3.7B,60m,1500,32000,1,0.7622388059701493
hybrid_3.7B,60m,1500,32000,2,0.7518208955223881
hybrid_3.7B,60m,1750,32000,0,0.779910447761194
hybrid_3.7B,60m,1750,32000,1,0.7706865671641792
hybrid_3.7B,60m,1750,32000,2,0.7448059701492538
hybrid_3.7B,60m,2000,32000,0,0.7888358208955224
hybrid_3.7B,60m,2000,32000,1,0.783
hybrid_3.7B,60m,2000,32000,2,0.7450746268656716
hybrid_3.7B,60m,final,32000,0,0.7900149253731343
hybrid_3.7B,60m,final,32000,1,0.7814925373134328
hybrid_3.7B,60m,final,32000,2,0.7540746268656716
hybrid_3.7B,60m,25,50257,0,0.5984626865671642
hybrid_3.7B,60m,25,50257,1,0.5974328358208956
hybrid_3.7B,60m,25,50257,2,0.5966865671641791
hybrid_3.7B,60m,50,50257,0,0.6734626865671641
hybrid_3.7B,60m,50,50257,1,0.681134328358209
hybrid_3.7B,60m,50,50257,2,0.6756417910447762
hybrid_3.7B,60m,75,50257,0,0.6877611940298507
hybrid_3.7B,60m,75,50257,1,0.7062537313432836
hybrid_3.7B,60m,75,50257,2,0.6887164179104478
hybrid_3.7B,60m,100,50257,0,0.7008059701492537
hybrid_3.7B,60m,100,50257,1,0.693820895522388
hybrid_3.7B,60m,100,50257,2,0.6971641791044776
hybrid_3.7B,60m,250,50257,0,0.7276865671641791
hybrid_3.7B,60m,250,50257,1,0.7174328358208956
hybrid_3.7B,60m,250,50257,2,0.7415074626865672
hybrid_3.7B,60m,500,50257,0,0.752089552238806
hybrid_3.7B,60m,500,50257,1,0.7518208955223881
hybrid_3.7B,60m,500,50257,2,0.7517611940298508
hybrid_3.7B,60m,750,50257,0,0.7630597014925373
hybrid_3.7B,60m,750,50257,1,0.7627462686567165
hybrid_3.7B,60m,750,50257,2,0.759955223880597
hybrid_3.7B,60m,1000,50257,0,0.7589253731343284
hybrid_3.7B,60m,1000,50257,1,0.7557910447761194
hybrid_3.7B,60m,1000,50257,2,0.7696417910447761
hybrid_3.7B,60m,1250,50257,0,0.7732537313432836
hybrid_3.7B,60m,1250,50257,1,0.7757611940298508
hybrid_3.7B,60m,1250,50257,2,0.7687462686567165
hybrid_3.7B,60m,1500,50257,0,0.7794179104477612
hybrid_3.7B,60m,1500,50257,1,0.7637014925373135
hybrid_3.7B,60m,1500,50257,2,0.7589253731343284
hybrid_3.7B,60m,1750,50257,0,0.7900597014925373
hybrid_3.7B,60m,1750,50257,1,0.7701194029850746
hybrid_3.7B,60m,1750,50257,2,0.7598805970149254
hybrid_3.7B,60m,2000,50257,0,0.7932238805970149
hybrid_3.7B,60m,2000,50257,1,0.7655522388059701
hybrid_3.7B,60m,2000,50257,2,0.7674477611940298
hybrid_3.7B,60m,final,50257,0,0.8006268656716418
hybrid_3.7B,60m,final,50257,1,0.7738805970149254
hybrid_3.7B,60m,final,50257,2,0.7997014925373135
hybrid_3.7B,20m,25,50257,0,0.6424477611940298
hybrid_3.7B,20m,25,50257,1,0.6464179104477612
hybrid_3.7B,20m,25,50257,2,0.6594925373134328
hybrid_3.7B,20m,50,50257,0,0.6827761194029851
hybrid_3.7B,20m,50,50257,1,0.6902089552238806
hybrid_3.7B,20m,50,50257,2,0.6996865671641791
hybrid_3.7B,20m,75,50257,0,0.7192388059701492
hybrid_3.7B,20m,75,50257,1,0.7099402985074627
hybrid_3.7B,20m,75,50257,2,0.7046716417910448
hybrid_3.7B,20m,100,50257,0,0.7149552238805971
hybrid_3.7B,20m,100,50257,1,0.7224328358208956
hybrid_3.7B,20m,100,50257,2,0.7106119402985075
hybrid_3.7B,20m,250,50257,0,0.7315223880597015
hybrid_3.7B,20m,250,50257,1,0.7107761194029851
hybrid_3.7B,20m,250,50257,2,0.7220298507462687
hybrid_3.7B,20m,500,50257,0,0.7474925373134328
hybrid_3.7B,20m,500,50257,1,0.7276567164179104
hybrid_3.7B,20m,500,50257,2,0.7345522388059702
hybrid_3.7B,20m,750,50257,0,0.7528208955223881
hybrid_3.7B,20m,750,50257,1,0.7446716417910447
hybrid_3.7B,20m,750,50257,2,0.7332089552238806
hybrid_3.7B,20m,1000,50257,0,0.7287462686567164
hybrid_3.7B,20m,1000,50257,1,0.7411492537313433
hybrid_3.7B,20m,1000,50257,2,0.7138059701492537
hybrid_3.7B,20m,1250,50257,0,0.7447014925373134
hybrid_3.7B,20m,1250,50257,1,0.7465373134328358
hybrid_3.7B,20m,1250,50257,2,0.7236865671641791
hybrid_3.7B,20m,1500,50257,0,0.7411492537313433
hybrid_3.7B,20m,1500,50257,1,0.7568059701492538
hybrid_3.7B,20m,1500,50257,2,0.7362388059701492
hybrid_3.7B,20m,1750,50257,0,0.7361940298507462
hybrid_3.7B,20m,1750,50257,1,0.7460597014925373
hybrid_3.7B,20m,1750,50257,2,0.7398656716417911
hybrid_3.7B,20m,2000,50257,0,0.7506417910447761
hybrid_3.7B,20m,2000,50257,1,0.7718656716417911
hybrid_3.7B,20m,2000,50257,2,0.7534626865671642
hybrid_3.7B,20m,final,50257,0,0.7524477611940299
hybrid_3.7B,20m,final,50257,1,0.766179104477612
hybrid_3.7B,20m,final,50257,2,0.7532388059701492
hybrid_3.7B,180m,25,50257,0,0.5317462686567164
hybrid_3.7B,180m,25,50257,1,0.5300149253731343
hybrid_3.7B,180m,25,50257,2,0.5362089552238806
hybrid_3.7B,180m,50,50257,0,0.5923283582089552
hybrid_3.7B,180m,50,50257,1,0.6073283582089553
hybrid_3.7B,180m,50,50257,2,0.6041791044776119
hybrid_3.7B,180m,75,50257,2,0.642955223880597
hybrid_3.7B,180m,100,50257,0,0.6665671641791044
hybrid_3.7B,180m,100,50257,1,0.6774328358208955
hybrid_3.7B,180m,100,50257,2,0.6590149253731343
hybrid_3.7B,180m,250,50257,0,0.7300597014925373
hybrid_3.7B,180m,500,50257,0,0.7434626865671642
hybrid_3.7B,180m,500,50257,1,0.7634626865671642
hybrid_3.7B,180m,500,50257,2,0.7474626865671642
hybrid_3.7B,180m,750,50257,0,0.7730298507462686
hybrid_3.7B,180m,750,50257,1,0.7782835820895523
hybrid_3.7B,180m,750,50257,2,0.7655820895522388
hybrid_3.7B,180m,1000,50257,0,0.7612835820895523
hybrid_3.7B,180m,1000,50257,1,0.7722835820895523
hybrid_3.7B,180m,1250,50257,0,0.7739253731343284
hybrid_3.7B,180m,1250,50257,1,0.7667462686567165
hybrid_3.7B,180m,1250,50257,2,0.782865671641791
hybrid_3.7B,180m,1500,50257,0,0.7745671641791044
hybrid_3.7B,180m,1500,50257,1,0.7764328358208955
hybrid_3.7B,180m,1500,50257,2,0.7878358208955224
hybrid_3.7B,180m,1750,50257,1,0.777865671641791
hybrid_3.7B,180m,1750,50257,2,0.794134328358209
hybrid_3.7B,180m,2000,50257,0,0.7877761194029851
hybrid_3.7B,180m,2000,50257,1,0.7842388059701493
hybrid_3.7B,180m,2000,50257,2,0.7887014925373135
hybrid_3.7B,180m,final,50257,0,0.8059850746268656
hybrid_3.7B,180m,final,50257,1,0.8039253731343283
hybrid_3.7B,180m,final,50257,2,0.8143582089552239
